"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000169800.14" 0 0 0 0 0 0
"ENSG00000169807.10" 0 0 0 0 0 0
"ENSG00000169811.8" 0 0 0 0 0 0
"ENSG00000169813.17" 16675.201 17607.857 7153.198 8357.883 10404.891 10159.825
"ENSG00000169814.16" 1886.621 2103.273 231.005 218.063 569.498 580.248
"ENSG00000169826.8" 643.594 559.319 246.49 285.575 1103.005 1207.091
"ENSG00000169836.5" 0 0 0 1 0 0
"ENSG00000169840.5" 0 0 0 0 0 0
"ENSG00000169849.8" 0 0 0 0 0 0
"ENSG00000169851.15" 1390.912 1337.038 3359.726 3726.79 3022.591 2988.866
"ENSG00000169855.20" 467.365 494.546 0 3 1105.031 1039.04
"ENSG00000169856.9" 0 0 12.01 7 0 0
"ENSG00000169857.9" 276.698 249.185 245.321 289.131 192.022 131.389
"ENSG00000169860.7" 146 128.025 0 0 243.761 186.034
"ENSG00000169862.19" 0 0 0 0 0 0
"ENSG00000169871.13" 652.441 661.448 1322.52 1472.329 1973.697 2158.404
"ENSG00000169876.14" 0 0 4 20.007 0 10
"ENSG00000169877.10" 0 0 0 0 0 0
"ENSG00000169884.14" 11 13 50.062 71.001 12 29
"ENSG00000169885.10" 0 0 0 1 0 0
"ENSG00000169891.18" 32 50 93 115.081 8 9
"ENSG00000169894.18" 9 0 12 15.003 0 0
"ENSG00000169895.6" 3105.878 3166.155 1852.088 1976.361 3431.948 3288.578
"ENSG00000169896.18" 1 0 4 1 12 32.364
"ENSG00000169900.8" 0 0 0 0 0 0
"ENSG00000169902.15" 269.203 237.671 225.258 206.288 342.27 443.598
"ENSG00000169903.7" 0 0 0 0 0 0
"ENSG00000169905.13" 1720.169 1953.311 2763.001 3173.229 2760.681 2682.835
"ENSG00000169906.5" 0 0 0 0 0 0
"ENSG00000169908.12" 10452.278 11102.345 1435.752 1725.328 6898.725 7092.193
"ENSG00000169914.6" 163.052 159.048 672.491 822.666 770.413 816.891
"ENSG00000169918.10" 7.598 0 1.017 4.015 5.117 16.176
"ENSG00000169919.17" 743.863 774.818 733.422 803.111 1097.501 1220.492
"ENSG00000169925.17" 869.31 807.974 1322.022 1472.269 1210.817 1349.673
"ENSG00000169926.11" 774.609 837.974 1324.173 1557.576 1311.121 1433.083
"ENSG00000169933.16" 0 0 0 0 6 23
"ENSG00000169946.14" 5 1 4 9.004 5 11
"ENSG00000169951.10" 133.691 103.007 138.863 170.078 92.212 124.131
"ENSG00000169953.12" 0 0 0 0 0 0
"ENSG00000169955.7" 177.759 183 226.422 181.757 74.229 74.314
"ENSG00000169957.10" 637.77 731.32 642.732 704.896 921.212 1041.72
"ENSG00000169962.5" 0 1 5 3 15 68.22
"ENSG00000169964.8" 830.167 852.292 73.352 142.681 252.549 215.003
"ENSG00000169967.17" 871.396 868.063 872.969 983.193 1940.6 1837.818
"ENSG00000169972.12" 623.164 675.389 505.868 561.508 485.659 491.174
"ENSG00000169976.7" 2313.484 2306.198 1140.376 1164.864 1251.494 1442.311
"ENSG00000169981.11" 547.991 543.217 277.528 338.63 335.739 249.083
"ENSG00000169989.3" 0 0 9 12 0 0
"ENSG00000169991.11" 982.142 1138.339 1187.26 1509.467 2485.272 2311.655
"ENSG00000169992.10" 175.431 113.188 626.879 764.482 616.269 527.02
"ENSG00000169994.19" 3 4 2 1 1 8.188
"ENSG00000170004.18" 916.697 1160.205 4138.49 4757.713 1100.179 1095.007
"ENSG00000170006.12" 515.722 628.134 1 0 1069.838 1003.187
"ENSG00000170011.14" 2 13 0 0 56 54
"ENSG00000170017.12" 7521.769 8192.115 2645.89 3021.161 6048.399 5764.609
"ENSG00000170027.7" 7477.291 7889.202 5159.549 5949.593 8903.15 8710.613
"ENSG00000170035.16" 1715.579 1859.374 521.587 608.829 1484.811 1536.085
"ENSG00000170037.14" 834.493 793.646 667.293 709.873 1556.047 1549.93
"ENSG00000170043.12" 2538.852 2562.782 1411.221 1390.301 1808.204 1778.214
"ENSG00000170044.9" 0 0 0 0 0 0
"ENSG00000170049.10" 28 33 7 6 27 48.579
"ENSG00000170054.16" 0 3 0 0 0 0
"ENSG00000170074.19" 0 0 0 0 0 5
"ENSG00000170075.10" 0 0 11 22 0 0
"ENSG00000170085.18" 196.955 282.822 548.944 554.249 276.753 323.043
"ENSG00000170088.14" 486.836 641.89 712.259 721.789 753.536 724.877
"ENSG00000170089.15" 1470.409 1659.208 1299.011 1439.988 828.421 911.935
"ENSG00000170091.11" 0 0 0 0 0 0
"ENSG00000170092.14" 1.035 0 1 3.3 3.278 0
"ENSG00000170099.6" 0 0 0 0 0 0
"ENSG00000170100.14" 180.749 217.09 192.073 240.231 756.212 728.287
"ENSG00000170113.16" 924.511 1257.154 1136.26 1302.545 2291.941 2269.846
"ENSG00000170122.6" 0 4 11 22 13 8
"ENSG00000170128.5" 0 0 0 0 0 0
"ENSG00000170142.12" 6106.65 5946.125 2568.413 3098.367 1485.875 1358.896
"ENSG00000170144.21" 12332.534 12513.564 10688.307 11975.878 14841.881 13968.568
"ENSG00000170145.5" 2064.717 2065.946 1020.39 1120.236 2826.886 3028.083
"ENSG00000170153.11" 0 0 1 0 0 0
"ENSG00000170160.17" 0 0 6.697 0 0 0
"ENSG00000170161.7" 25.458 14.997 0 0 23.04 46.018
"ENSG00000170162.14" 0 0 0 0 0 0
"ENSG00000170166.6" 0 0 0 0 0 0
"ENSG00000170175.11" 352.457 411.184 48.016 53.003 397.853 420.345
"ENSG00000170178.7" 0 0 1 1 0 0
"ENSG00000170180.22" 0 0 0 0 0 0
"ENSG00000170185.11" 415.188 464.266 3052.221 3476.069 875.305 882.594
"ENSG00000170190.16" 151.013 209.057 178.961 192.03 166.792 172.856
"ENSG00000170191.5" 877.148 993.438 474.582 501.558 907.176 850.76
"ENSG00000170209.5" 0 0 0 0 3 2
"ENSG00000170214.5" 76.691 98 0 0 52.025 39
"ENSG00000170222.12" 258.035 287.797 52.021 65.12 118 118
"ENSG00000170231.16" 0 2 0 0 0 0
"ENSG00000170234.13" 461.117 408.765 536.484 618.781 810.797 1045.349
"ENSG00000170236.16" 2 2 6 1.022 3.005 9.206
"ENSG00000170242.19" 849.124 970.589 3010.17 3327.565 1532.644 1502.318
"ENSG00000170248.15" 4188.281 4365.053 3830.929 4515.683 5236.679 5231.381
"ENSG00000170255.7" 0 0 1 0 0 0
"ENSG00000170260.9" 311.525 221.076 247.374 232.643 338.416 442.748
"ENSG00000170262.13" 0 0 0 2.175 0 0
"ENSG00000170264.13" 227.18 269.543 168.146 155 320.127 300.528
"ENSG00000170265.12" 563.1 449.309 894.633 897.976 1123.3 1119.136
"ENSG00000170266.16" 971.224 961.097 1087.516 1249.332 1366.771 1377.499
"ENSG00000170270.5" 349.15 422.126 170.628 177.898 186.477 220.66
"ENSG00000170271.11" 2 4 27.001 37.018 5 4
"ENSG00000170275.15" 4472.004 4565.582 5488.323 6167.571 5020.013 5451.712
"ENSG00000170276.6" 0 0 0 0 0 0
"ENSG00000170279.3" 0 0 0 0 0 0
"ENSG00000170289.13" 0 0 29 30 0 0
"ENSG00000170290.4" 0 6 2 6 0 0
"ENSG00000170291.15" 2140.068 2078.886 707.406 728.579 880.427 1037.303
"ENSG00000170293.9" 654.092 620.415 338.515 390.25 157.159 191.628
"ENSG00000170296.10" 1848.392 1845.301 1320.258 1566.51 1534.673 1730.663
"ENSG00000170298.16" 4 0 0 1 0 0
"ENSG00000170310.15" 483.706 495.809 315.171 290.312 382.989 315.944
"ENSG00000170312.16" 7018.669 7143.573 3021.738 3519.777 3454.624 3527.447
"ENSG00000170315.14" 37600.206 39335.735 18312.304 19991.14 13924.356 14146.76
"ENSG00000170322.15" 656.058 586.026 1279.643 1416.191 712.536 793.557
"ENSG00000170323.9" 0 0 0 0 4 0
"ENSG00000170324.21" 0 0 4 3 0 0
"ENSG00000170325.16" 236 267.003 310.159 330.301 567.427 484.211
"ENSG00000170340.11" 1236.804 1345.826 1247.226 1310.278 991.635 1109.834
"ENSG00000170345.10" 47 49.875 330.488 368.998 267.343 219.081
"ENSG00000170348.9" 6090.98 6543.79 9370.789 11278.291 4942.871 5066.929
"ENSG00000170356.9" 0 6.914 2.346 9.12 0 6
"ENSG00000170364.12" 370.365 358.607 204.221 224.016 265.076 238.691
"ENSG00000170365.10" 377.574 417.438 330.198 440.464 569.028 449.365
"ENSG00000170367.5" 0 0 0 0 0 0
"ENSG00000170369.4" 0 0 0 3.007 0 0
"ENSG00000170370.12" 0 0 0 0 0 0
"ENSG00000170373.9" 0 8 1561.908 1797.403 0 0
"ENSG00000170374.6" 0 0 0 0 9 0
"ENSG00000170379.21" 14 29.035 10.879 36.628 56.978 40.987
"ENSG00000170381.14" 0 0 0 0 0 0
"ENSG00000170382.12" 0 0 0 1 2 0
"ENSG00000170385.10" 821.1 725.421 1750.51 1882.503 1678.547 1531.39
"ENSG00000170390.16" 19 28 0 0 361.979 457.302
"ENSG00000170396.9" 2 32 0 0 91.119 129
"ENSG00000170409.7" 0 0 0 0 0 0
"ENSG00000170412.18" 76.001 77.121 1262.361 1334.69 19 11.005
"ENSG00000170417.16" 19 2.001 94.138 107.131 25.002 19
"ENSG00000170419.11" 0 0 1 0 0 0
"ENSG00000170421.12" 34058.521 36118.917 70624.364 78330.973 7748.4 7819.745
"ENSG00000170423.13" 0 0 2 0 0 0
"ENSG00000170425.4" 3969.707 4035.545 216.206 280.239 3243.292 3245.23
"ENSG00000170426.2" 0 0 0 0 0 0
"ENSG00000170430.10" 206.043 159.023 571.369 611.105 508.808 470.133
"ENSG00000170439.7" 101 110.003 137.268 193.976 1 0
"ENSG00000170442.12" 153.341 143.688 30.005 43.346 12.223 11
"ENSG00000170445.16" 3300.031 3767.694 1582.132 1692.652 2525.213 2590.043
"ENSG00000170448.12" 478.301 463.452 452.18 545.7 494.739 518.911
"ENSG00000170454.6" 0 1 3 3 0 3
"ENSG00000170456.16" 375.448 292.336 280.777 261.148 1155.752 1033.423
"ENSG00000170458.14" 24 13 0 0 0 0
"ENSG00000170464.10" 270.258 260.073 72.525 119.324 160.049 125.006
"ENSG00000170465.10" 0 0 1.021 0 0 0
"ENSG00000170468.8" 423.761 403.122 701.485 865.32 548.643 588.813
"ENSG00000170469.11" 36.003 33 39.395 47.059 19 56
"ENSG00000170471.15" 1056.937 1135.313 2881.521 3279.415 2912.578 2888.573
"ENSG00000170473.17" 691.654 664.714 948.538 1029.862 501.939 389.335
"ENSG00000170476.16" 5 0 0 0 0 0
"ENSG00000170477.13" 0 0 0 0 0 0
"ENSG00000170482.17" 0 3 0 0 3 4
"ENSG00000170484.10" 0 0 0 0 0 0
"ENSG00000170485.17" 408.876 553.688 178.005 211.94 567.94 626.817
"ENSG00000170486.11" 0 0 0 0 0 0
"ENSG00000170498.9" 12 15 0 0 0 0
"ENSG00000170500.13" 0 0 2 17 2 0
"ENSG00000170502.13" 580.014 549.976 516.49 606.657 666.682 707.238
"ENSG00000170509.12" 0 0 0 0 0 0
"ENSG00000170515.14" 12164.977 13035.423 6634.53 7553.075 8140.768 8057.601
"ENSG00000170516.17" 0 0 0 0 0 0
"ENSG00000170522.10" 4155.447 4158.636 1026.561 1187.964 2659.663 2495.678
"ENSG00000170523.3" 0 0 2 0 0 0
"ENSG00000170525.21" 1347.127 1205.573 848.668 1021.546 2744.742 2913.829
"ENSG00000170537.13" 92 104.065 93.135 72.341 501.852 612.551
"ENSG00000170540.15" 18535.876 19425.533 11380.389 13057.186 12598.773 12436.008
"ENSG00000170542.6" 212.143 276.127 0 0 42.018 55.021
"ENSG00000170545.17" 689.621 800.879 929.477 954.995 835.331 712.817
"ENSG00000170549.4" 0 0 0 0 0 0
"ENSG00000170558.10" 2877.374 3073.202 12 7.769 3535.67 3870.5
"ENSG00000170561.13" 1204.229 1088.492 785.432 798.184 1538.112 1732.33
"ENSG00000170571.12" 129.197 150.127 0 0 1398.327 1314.461
"ENSG00000170577.8" 2 11 0 0 3 1
"ENSG00000170579.17" 0 4 1 3 0 0
"ENSG00000170581.14" 362.23 410.053 863.406 1058.528 648 654.55
"ENSG00000170584.11" 1631.126 1552.678 388.853 481.804 863.476 873.008
"ENSG00000170604.5" 332.025 395.835 1044.829 1099.435 518.713 671.358
"ENSG00000170605.7" 0 0 0 0 0 0
"ENSG00000170606.15" 9376.468 10052.071 6687.418 7570.977 6862.848 6976.68
"ENSG00000170608.3" 3 0 907.348 1028.335 0 0
"ENSG00000170613.4" 0 0 0 0 0 0
"ENSG00000170615.15" 0 0 0 0 0 0
"ENSG00000170619.10" 919.598 951.243 415.584 499.72 465.344 529.064
"ENSG00000170624.14" 0 0 0 0 0 0
"ENSG00000170627.11" 22 11 0 0 0 0
"ENSG00000170629.14" 45.006 39 0 0 184 233.862
"ENSG00000170631.15" 165.06 178.504 92.028 78 130.009 157.207
"ENSG00000170632.14" 2808.923 2875.598 912.779 1009.474 2128.34 2235.981
"ENSG00000170633.16" 1130.878 960.923 1007.415 1063.622 686.977 735.724
"ENSG00000170634.13" 50.521 79.05 35.002 46.994 89.2 141.59
"ENSG00000170638.10" 1368.227 1437.486 1386.231 1744.882 1572.053 1792.816
"ENSG00000170653.19" 519.638 449.355 864.666 1022.055 1314.296 1354.477
"ENSG00000170667.15" 46.444 12.169 35.288 24.322 46.7 18.374
"ENSG00000170677.6" 564.781 508.731 402.854 479.15 987.954 796.805
"ENSG00000170681.7" 28 38 6 12 21 33
"ENSG00000170683.7" 0 0 0 0 0 0
"ENSG00000170684.9" 144.055 135.125 168.01 169.216 92.317 135.432
"ENSG00000170688.4" 0 0 0 0 0 0
"ENSG00000170689.10" 1932.954 2250.172 675.225 787.561 2008.263 2207.096
"ENSG00000170703.16" 0 0 1 16 0 0
"ENSG00000170734.12" 607.718 664.896 1325.838 1439.882 2119.634 2346.81
"ENSG00000170743.17" 0 0 0 0 0 0
"ENSG00000170745.12" 142.009 113 0 0 186 194
"ENSG00000170748.7" 0 0 0 0 0 0
"ENSG00000170759.11" 6649.581 6898.757 5872.697 7059.03 5321.554 5676.306
"ENSG00000170775.3" 7 25 0 0 37 51
"ENSG00000170776.22" 1090.505 1245.464 1397.605 1678.772 2128.546 2160.751
"ENSG00000170777.11" 0 0 0 0 0 0
"ENSG00000170779.11" 4987.762 4753.559 2316.521 2615.399 2161.064 2512.774
"ENSG00000170782.3" 0 0 0 0 0 0
"ENSG00000170786.13" 36 30 102.017 74.858 9 15
"ENSG00000170788.14" 0 0 0 0 0 0
"ENSG00000170790.6" 0 0 0 0 0 0
"ENSG00000170791.18" 336.846 453.987 547.897 669.71 208.03 172.93
"ENSG00000170801.10" 34 22 0 0 20 44
"ENSG00000170802.16" 1685.559 1699.973 457.956 472.61 1446.135 1430.881
"ENSG00000170807.12" 0 0 0 0 0 0
"ENSG00000170819.5" 0 0 0 0 0 0
"ENSG00000170820.12" 0 0 0 0 0 0
"ENSG00000170827.9" 0 1 0 6 0 0
"ENSG00000170832.13" 1471.89 1569.782 1245.835 1459.904 2985.29 2837.248
"ENSG00000170835.17" 12 0 31.005 31.831 4 19
"ENSG00000170836.12" 225.17 277.225 515.964 561.234 496.264 526.376
"ENSG00000170837.3" 0 0 0 0 0 0
"ENSG00000170846.17" 480.838 434.004 320.122 339 316.095 330.409
"ENSG00000170848.16" 9 0 16.001 40.078 0 0
"ENSG00000170852.11" 829.953 868.588 753.399 823.816 1338.783 1281.766
"ENSG00000170854.18" 1408.229 1497.724 872.006 1084.145 1425.972 1584.484
"ENSG00000170855.4" 1482.102 1434.27 1104.844 1326.238 1161.852 1009.101
"ENSG00000170858.10" 0 0 0 0 0 0
"ENSG00000170860.4" 2536.908 2442.771 1219.36 1395.01 1398.739 1298.567
"ENSG00000170871.12" 629.975 809.517 1258.906 1404.329 2018.18 1815.326
"ENSG00000170873.19" 105.786 154.522 9.875 4 57.344 51
"ENSG00000170876.8" 4098.131 4405.694 1874.149 2205.018 4469.636 4352.279
"ENSG00000170881.5" 1762.809 2107.021 724.828 859.37 856.354 934.493
"ENSG00000170889.14" 31703.909 32504.222 13732.769 15136.04 16794.716 17581.427
"ENSG00000170890.14" 0 0 0 0 0 0
"ENSG00000170891.11" 1 0 0 0 0 0
"ENSG00000170892.13" 1507.634 1430.107 827.788 853.509 1024.607 1176.424
"ENSG00000170893.4" 0 0 0 0 0 0
"ENSG00000170899.11" 21 11.018 121.208 154.77 10 6.042
"ENSG00000170903.11" 1151.969 1158.886 121.256 137.242 887.103 885.593
"ENSG00000170906.16" 761.988 813.022 1018.77 1168.111 641.444 360.099
"ENSG00000170909.13" 12 24 1 0 14.04 7
"ENSG00000170915.9" 58 47.008 983.428 1231.183 180.234 167.932
"ENSG00000170917.14" 105 125.001 65.01 69 55.621 64.098
"ENSG00000170919.16" 119.9 119.313 101.132 108.385 266.74 263.884
"ENSG00000170920.2" 0 0 0 0 0 0
"ENSG00000170921.15" 401.212 413.094 296.649 454.943 735.59 734.835
"ENSG00000170923.4" 0 0 0 0 0 0
"ENSG00000170925.3" 0 0 0 0 0 0
"ENSG00000170927.15" 0 0 0 2 0 0
"ENSG00000170929.6" 0 0 0 0 0 0
"ENSG00000170935.8" 0 0 0 0 0 0
"ENSG00000170946.15" 789.73 818.619 292.521 305.805 487.956 605.502
"ENSG00000170948.3" 0 0 0 0 0 0
"ENSG00000170949.18" 213 228 285.651 360 356.482 330.596
"ENSG00000170950.6" 0 0 0 0 0 0
"ENSG00000170953.4" 0 0 0 0 0 0
"ENSG00000170954.12" 0 0 0 0 0 0
"ENSG00000170955.10" 1006.671 1034.054 1 0 749.437 795.695
"ENSG00000170956.17" 0 0 0 0 0 0
"ENSG00000170959.15" 0 0 2 0 0 0
"ENSG00000170961.7" 0 0 0 0 2 0
"ENSG00000170962.13" 4 4 0 3 2 0
"ENSG00000170965.10" 34 22.001 5 3.006 0 0
"ENSG00000170967.5" 0 0 0 0 0 0
"ENSG00000170983.4" 0 0 0 0 0 0
"ENSG00000170989.10" 213.029 259.527 0 0 1241.622 1264.743
"ENSG00000171004.18" 0 0 0 0 1 0
"ENSG00000171014.3" 0 0 0 0 0 0
"ENSG00000171016.13" 67 55.051 0 0 84.063 43.006
"ENSG00000171017.11" 240.549 301.42 291.813 317.344 339.847 309.185
"ENSG00000171033.13" 0 0 0 0 0 0
"ENSG00000171044.11" 42 50 0 0 120.057 116.009
"ENSG00000171045.16" 103.001 60.059 63 89.051 98 139.047
"ENSG00000171049.9" 0 0 0 0 0 0
"ENSG00000171051.9" 7 4 6 20 1 0
"ENSG00000171053.10" 0 0 0 0 0 0
"ENSG00000171054.9" 0 0 0 0 0 0
"ENSG00000171055.15" 1303.381 1383.571 570.315 612.064 368.212 437.215
"ENSG00000171056.8" 249 325.058 6.264 17.73 679.262 632.361
"ENSG00000171060.11" 0 0 0 0 0 0
"ENSG00000171067.11" 1013.955 1117.871 962.675 1057.107 1103.256 1193.916
"ENSG00000171084.15" 30 43 38.211 36.384 61 65
"ENSG00000171094.18" 0 0 0 0 12.019 7
"ENSG00000171097.14" 415.019 503.448 27 30.415 193.756 230.157
"ENSG00000171100.15" 171 173.015 232.24 216.209 182 103.031
"ENSG00000171101.13" 0 0 0 0 0 0
"ENSG00000171102.15" 0 0 0 0 0 0
"ENSG00000171103.11" 593.831 728.862 284.79 349.466 501.13 544.031
"ENSG00000171105.14" 181.668 203.002 442.363 521.759 563.082 605.899
"ENSG00000171109.19" 2166.29 2248.903 1786.98 1921.435 1544.755 1607.983
"ENSG00000171115.4" 0 0 0 0 0 0
"ENSG00000171116.7" 5 6 0 0 5 6
"ENSG00000171119.3" 0 1.028 16 29 2 0
"ENSG00000171121.16" 32.325 30.955 27.044 26.439 17.625 35.935
"ENSG00000171124.13" 0 0 24 10 0 3
"ENSG00000171126.8" 1 3 0 0 20 27
"ENSG00000171130.19" 397.454 384.095 0 0 847.351 971.431
"ENSG00000171132.14" 219 185.063 103.598 148.295 224.421 189.612
"ENSG00000171133.4" 0 0 0 0 0 0
"ENSG00000171135.15" 1920.75 1790.025 742.506 817.188 646.201 644.635
"ENSG00000171136.7" 0 0 0 0 0 0
"ENSG00000171148.14" 1038.408 1132.409 1242.842 1337.089 1075.04 1134.788
"ENSG00000171150.9" 2181.556 2492.696 489.403 544.751 819.852 737.893
"ENSG00000171155.8" 761.439 625.88 354.873 401.027 396.467 405.9
"ENSG00000171159.5" 391.098 328.03 284.937 292.932 346.847 315.514
"ENSG00000171160.18" 92 115 33.053 49 244.003 243.666
"ENSG00000171161.13" 305.306 389.537 1276.904 1450.256 1033.739 943.459
"ENSG00000171163.16" 212.242 178.431 324.794 484.361 342.119 411.096
"ENSG00000171169.9" 177.239 204.146 173.187 173.257 221.147 162.361
"ENSG00000171174.15" 27 28 33 26.043 28.078 17
"ENSG00000171180.3" 0 0 0 0 0 0
"ENSG00000171189.17" 0 0 0 0 2 0
"ENSG00000171195.11" 0 0 0 0 0 0
"ENSG00000171199.11" 0 0 0 0 0 0
"ENSG00000171201.12" 0 0 0 0 0 0
"ENSG00000171202.7" 1196.546 1206.428 278.679 355.919 692.332 624.506
"ENSG00000171204.13" 2257.904 2181.914 721.057 753.531 879.775 828.427
"ENSG00000171206.15" 1815.728 1856.732 858.695 927.58 1590.727 1929.942
"ENSG00000171208.10" 2758.328 2889.123 0 1 4660.907 4570.791
"ENSG00000171209.3" 0 0 0 0 0 0
"ENSG00000171217.5" 0 0 0 0 4 9
"ENSG00000171219.9" 2 0 789.481 948.143 12 12
"ENSG00000171222.11" 533.64 492.556 711.109 746.013 234.502 229.775
"ENSG00000171223.6" 215.025 210.219 715.365 716.572 725.917 894.243
"ENSG00000171224.9" 37.034 12 70 85.03 12 0
"ENSG00000171227.7" 97 104.284 100.176 88.2 40 11
"ENSG00000171234.14" 0 0 3 0 0 0
"ENSG00000171236.10" 0 0 502.462 562.624 0 1
"ENSG00000171241.9" 2731.267 2776.376 822.083 864.638 2676.228 2476.617
"ENSG00000171243.8" 0 0 0 0 0 0
"ENSG00000171246.6" 39.083 40 0 0 4 0
"ENSG00000171262.11" 930.32 1009.203 1266.062 1399.497 1479.453 1597.003
"ENSG00000171291.9" 3 0 0 0 0 0
"ENSG00000171295.13" 253.392 230 371.061 473.554 304.365 242.224
"ENSG00000171298.13" 489.239 376.044 878.981 1026.255 1051.592 918.055
"ENSG00000171302.17" 2848.165 2921.36 3414.409 3772.008 3201.664 3569.481
"ENSG00000171303.7" 0 4 3 2 1 1
"ENSG00000171307.19" 1181.889 1261.728 920.901 1122.467 1010 995.773
"ENSG00000171310.11" 391.372 351.999 1 8 963.026 1073.777
"ENSG00000171311.13" 877.177 919.67 763.561 945.494 591.234 653.137
"ENSG00000171314.9" 28898.19 30615.826 19133.519 21131.991 12610.568 12837.956
"ENSG00000171316.12" 931.417 799.198 2557.523 2890.9 1325.054 1342.196
"ENSG00000171320.15" 747.427 798.462 610.833 626.668 999.646 896.873
"ENSG00000171345.13" 21874.051 21305.142 16533.086 18203.848 13874.289 14474.739
"ENSG00000171346.16" 1177.324 1305.422 87.945 75.001 670.373 786.386
"ENSG00000171357.6" 0 0 0 0 0 0
"ENSG00000171360.4" 0 0 0 0 1 0
"ENSG00000171365.17" 175.495 187.003 3012.337 3536.455 1017.11 891.422
"ENSG00000171368.12" 298.466 338.791 547.173 600.47 221.13 201.336
"ENSG00000171385.10" 6 1 6.512 8 25 4
"ENSG00000171388.12" 144 97.075 0 0 37 40
"ENSG00000171396.12" 0 0 0 0 0 0
"ENSG00000171401.15" 7 6 772.8 856.201 3.519 0
"ENSG00000171402.15" 0 0 0 0 0 0
"ENSG00000171403.10" 0 0 0 0 0 0
"ENSG00000171405.13" 0 0 0 0 0 0
"ENSG00000171408.14" 8 2 0 0 1 0
"ENSG00000171421.13" 1327.397 1231.294 717.223 833.641 479.697 540.351
"ENSG00000171425.10" 406.997 400.589 504.961 514.084 396.396 341.989
"ENSG00000171428.15" 79.007 75 148.018 208.275 32 35
"ENSG00000171431.4" 41.115 47.001 3 1 0 11
"ENSG00000171433.12" 0 0 0 0 0 0
"ENSG00000171435.14" 0 0 0 0 1 0
"ENSG00000171443.7" 215 202.496 113.957 138.111 140.092 144.263
"ENSG00000171444.18" 147.179 177.026 12 9.006 143.012 142.022
"ENSG00000171446.7" 0 0 0 0 0 0
"ENSG00000171448.9" 260.602 262.05 115.358 165.049 205.553 179.23
"ENSG00000171450.6" 0 0 11 5.004 0 0
"ENSG00000171451.15" 702.53 601.233 0 0 1210.908 1423.544
"ENSG00000171453.20" 1750.998 1759.426 748.842 864.67 1036.181 1118.546
"ENSG00000171456.20" 2793.792 2852.857 2870.49 3031.034 3209.175 3245.959
"ENSG00000171459.4" 0 0 0 0 0 0
"ENSG00000171462.15" 270.965 234.154 10 11 174 189.079
"ENSG00000171466.10" 893.034 874.151 833.94 1031.442 1305.297 1334.652
"ENSG00000171467.16" 959.4 824 868.866 1027.761 1034.457 1087.231
"ENSG00000171469.11" 758.487 829.399 746.024 941.264 623.732 726.663
"ENSG00000171475.14" 1052.037 1096.683 1525.756 1729.623 1713.948 1805.781
"ENSG00000171476.22" 0 0 0 0 0 0
"ENSG00000171478.8" 0 0 0 0 0 0
"ENSG00000171481.5" 0 0 0 0 0 0
"ENSG00000171483.13" 0 3 0 0 3 0
"ENSG00000171487.15" 0 0 0 0 0 0
"ENSG00000171488.15" 926.434 812.602 15 17 1823.894 1765.628
"ENSG00000171489.10" 0 0 0 0 0 0
"ENSG00000171490.13" 10085.294 10134.993 3780.585 4523.986 6754.967 6307.776
"ENSG00000171492.14" 1040.31 1148.604 803.16 1015.258 1377.649 1491.277
"ENSG00000171495.17" 0 0 0 0 0 0
"ENSG00000171496.5" 0 0 0 0 0 0
"ENSG00000171497.5" 1589.621 1699.342 1160.684 1234.127 1301.562 1255.754
"ENSG00000171501.10" 0 0 0 0 0 0
"ENSG00000171502.15" 0 0 5 2 0 0
"ENSG00000171503.13" 230.008 336.476 205.199 294.543 525.099 573.599
"ENSG00000171505.5" 0 0 0 0 0 0
"ENSG00000171509.16" 0 0 0 0 0 0
"ENSG00000171517.6" 0 0 0 0 0 0
"ENSG00000171522.6" 2 10 61.037 82.63 41 22.012
"ENSG00000171530.15" 3710.69 3709.319 1579.133 1766.181 2045.217 1741.289
"ENSG00000171532.5" 0 5 0 0 0 0
"ENSG00000171533.12" 0 3.207 0 0 11 3
"ENSG00000171540.8" 0 0 0 0 0 0
"ENSG00000171551.12" 0 0 0 0 0 0
"ENSG00000171552.14" 11025.772 11555.387 5960.333 6286.645 9992.271 9751.194
"ENSG00000171557.17" 0 0 10 12 0 0
"ENSG00000171560.16" 0 0 47.03 55.005 0 0
"ENSG00000171561.4" 0 0 0 0 0 0
"ENSG00000171564.12" 0 0 45.121 54.029 0 0
"ENSG00000171566.12" 2112.357 2051.12 1692.932 1889.033 2265.449 2350.484
"ENSG00000171570.11" 13.178 0 3.273 0 0 1.128
"ENSG00000171574.18" 369.466 448.347 381.438 402.1 271.738 242.856
"ENSG00000171587.15" 3 15 0 0 44 35
"ENSG00000171595.14" 0 0 0 0 0 0
"ENSG00000171596.7" 0 0 0 0 0 0
"ENSG00000171603.18" 3556.598 3639.626 5749.672 6192.613 5023.419 5175.957
"ENSG00000171604.12" 1318.537 1316.072 1796.835 2022.194 1164.66 1228.065
"ENSG00000171606.18" 507.22 474.313 250.837 303.263 835.794 830.181
"ENSG00000171608.16" 452.288 409.83 99.221 61.002 870.333 930.503
"ENSG00000171611.10" 0 0 0 0 0 0
"ENSG00000171612.7" 657.677 645.608 358.508 427.013 588.347 503.874
