"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000005206.17" 171.999 158.111 648.478 652.85 620.065 588.291
"ENSG00000005238.20" 158.012 151.164 81.073 103 128.059 142.186
"ENSG00000005243.10" 3 3 0 0 4 10
"ENSG00000005249.13" 88.411 117.403 0 0 61 106.128
"ENSG00000005302.19" 1243.619 1283.097 528.103 605.475 861.819 845.344
"ENSG00000005339.15" 1376.149 1352.663 3635.229 4188.055 3385.535 3600.761
"ENSG00000005379.17" 18 25.008 23.997 19 28 27
"ENSG00000005381.8" 0 0 0 0 0 0
"ENSG00000005421.9" 0 0 0 0 0 0
"ENSG00000005436.14" 860.685 838.539 464.676 559.641 700.361 596.025
"ENSG00000005448.17" 1020.439 1082.178 152.298 175.515 418.837 359.492
"ENSG00000005469.12" 68 91.028 108.599 102.393 351.026 371.45
"ENSG00000005471.19" 0 0 5 0 0 0
"ENSG00000005483.21" 770.397 842.013 1103.107 1258.907 2093.386 2110.472
"ENSG00000005486.17" 320.018 304.747 794.195 774.695 308.048 281.472
"ENSG00000005513.10" 0 0 0 0 0 0
"ENSG00000005700.15" 2145.026 2329.977 1740.256 1930.807 1887.629 1872.881
"ENSG00000005801.18" 408.199 510.331 466.501 586.019 424.746 395.676
"ENSG00000005810.19" 1054.897 1191.112 2877.249 3479.18 2172.32 2217.946
"ENSG00000005812.11" 2465.859 2538.373 942.37 979.453 1724.267 1562.669
"ENSG00000005844.19" 0 0 5 0 1 6
"ENSG00000005882.12" 58.762 52.502 356.735 360.791 79 81.862
"ENSG00000005884.18" 7058.345 7480.865 4534.542 4730.776 8528.071 8583.306
"ENSG00000005889.16" 684.298 679.143 891.237 999.714 959.933 816.675
"ENSG00000005893.16" 4264.084 4780.44 3801.668 4489.895 4342.917 3976.538
"ENSG00000005961.19" 17 3 1 1 6 5
"ENSG00000005981.13" 0 0 0 0 0 0
"ENSG00000006007.12" 2191.73 2250.5 1615.409 1782.784 1479.213 1361.631
"ENSG00000006015.18" 452.746 404.479 267.872 309.775 724.819 677.639
"ENSG00000006016.12" 32.726 46.337 21.42 16.883 61.792 50.86
"ENSG00000006025.12" 76 110 193.109 214.726 220.804 210.333
"ENSG00000006042.12" 3 5 1067.802 1166.059 3 7
"ENSG00000006047.13" 358.377 394.202 1 8 463.115 346.885
"ENSG00000006059.4" 0 0 0 0 0 0
"ENSG00000006062.18" 693.431 802.405 250.368 220.3 1493.658 1663.407
"ENSG00000006071.16" 0 0 2 0 0 0
"ENSG00000006116.4" 0 0 0 0 0 0
"ENSG00000006118.15" 935.221 971.439 1161.366 1248.478 2840.339 2734.271
"ENSG00000006125.18" 10924.71 11083.182 6669.459 7510.589 14088.238 14058.604
"ENSG00000006128.12" 0 0 0 0 0 0
"ENSG00000006194.10" 585.089 659.695 505.813 618.319 767.084 604.595
"ENSG00000006210.7" 26 22 4 4 7 0
"ENSG00000006282.21" 256.01 274.064 564.415 674.712 555.367 608.688
"ENSG00000006283.18" 2 11 5 9 5 4
"ENSG00000006327.14" 3105.291 3164.94 2009.522 2056.796 3883.274 4095.164
"ENSG00000006377.11" 0 0 0 0 0 0
"ENSG00000006432.16" 190.115 191.03 1357.462 1503.093 545.832 517.509
"ENSG00000006451.8" 1167.765 1269.388 1507.98 1707.082 1396.921 1380.231
"ENSG00000006453.14" 295.175 312.085 1476.407 1764.188 284.974 346.056
"ENSG00000006459.11" 88 89 357.402 405.831 141.116 200.027
"ENSG00000006468.14" 45 49 34.03 22 4 9
"ENSG00000006530.18" 746.615 832.162 540.136 672.242 748.766 784.45
"ENSG00000006534.16" 177.125 165.999 199.915 261.512 331.579 303.9
"ENSG00000006555.11" 0 0 0 0 0 0
"ENSG00000006576.16" 1173.13 1378.076 721.878 953.808 1005.832 1018.637
"ENSG00000006606.9" 0 1 3 18 1 2
"ENSG00000006607.14" 1216.027 1115.679 1680.876 2103.102 2342.57 2458.886
"ENSG00000006611.17" 0 5 359.237 350.916 0 0
"ENSG00000006625.18" 745.931 739.096 1405.586 1697.962 981.378 785.113
"ENSG00000006634.8" 1739.74 1906.352 1135.984 1418.488 1492.256 1437.034
"ENSG00000006638.13" 90 61 3 3 47 56.809
"ENSG00000006652.15" 2054.615 2196.768 681.634 779.815 1285.216 1186.433
"ENSG00000006659.13" 0 0 0 0 0 0
"ENSG00000006695.12" 381.086 281.007 425.814 503.044 590.493 610.671
"ENSG00000006704.11" 595.509 678.809 767.034 846.475 507.707 645.104
"ENSG00000006712.15" 1942.421 1736.723 1388.24 1666.078 1596.043 1623.382
"ENSG00000006715.16" 900.023 920.462 938.38 1168.747 2074.428 2172.009
"ENSG00000006740.17" 35 32 136.04 196.281 195.316 201.551
"ENSG00000006744.19" 2274.948 2198.528 2580.279 2993.376 3299.698 3163.629
"ENSG00000006747.15" 0 0 0 0 1 2
"ENSG00000006756.16" 141.074 167.876 447.258 588.986 249.047 226.548
"ENSG00000006757.12" 472.969 436.316 251.875 275.983 217 172.46
